model,covar,looic,se_looic,elpd_loo,se_elpd_loo,p_loo,se_p_loo
B-H,flow_spr+NPGO+whidbey_basin_pink_escapement,692.05,64.48,-346.02,32.24,79.93,4.77
Linear,NA,693.03,64.29,-346.52,32.14,74.9,5.24
B-H,flow_wtr+flow_spr+NPGO+whidbey_basin_pink_escapement,693.89,64.29,-346.95,32.14,79.29,4.9
B-H,flow_spr+whidbey_basin_pink_escapement,695.27,63.43,-347.64,31.72,77.09,4.83
B-H,flow_wtr+NPGO+whidbey_basin_pink_escapement,695.45,64.14,-347.73,32.07,79.6,4.89
B-H,NPGO+whidbey_basin_pink_escapement,695.67,64.52,-347.84,32.26,79.95,4.99
B-H,whidbey_basin_pink_escapement,696.6,63.63,-348.3,31.81,76.99,4.92
B-H,NPGO,697.24,63.67,-348.62,31.84,78.4,4.79
B-H,flow_spr+NPGO,697.35,63.94,-348.67,31.97,79.54,4.85
B-H,flow_wtr+whidbey_basin_pink_escapement,698.12,63.76,-349.06,31.88,77.25,5.02
B-H,flow_wtr+flow_spr,698.49,63.81,-349.25,31.9,78.38,4.94
B-H,flow_spr,698.51,63.96,-349.25,31.98,79.91,4.82
B-H,flow_wtr+NPGO,698.62,63.88,-349.31,31.94,78.78,4.91
B-H,flow_wtr,699.09,63.77,-349.55,31.88,78.33,4.94
B-H,NA,699.89,63.8,-349.94,31.9,78.58,5.01
B-H,flow_wtr+flow_spr+NPGO,699.94,63.83,-349.97,31.92,80.05,4.9
Ricker,NA,702.16,63.46,-351.08,31.73,78.09,4.99
B-H,flow_wtr+flow_spr+whidbey_basin_pink_escapement,702.83,64.22,-351.42,32.11,80.37,5.19
