year,escapement,model_escapement,chum_smolt_abundance,pink_smolt_abundance,,CH.0.,adult_chum_recruits,PK.0.,ck_wild,ck_hatchery,sock,coho_wild,coho_hatchery,stlhd_wild,stlhd_hatchery,DV.BT,forage,other,flat,sculpin,perch,gadid,stickl,greenlings,salmonid,rockfish,chum_fry_per_smolt,chum_smolt_per_spawner,nearshore_chum_fry_growth,spring_flow,winter_flow,northSound_Pink_esc,NPGO,bay_temp,d50_Chum
1997,74474,79882.9977,5614703,NA,,296.973296,64335.982,0.19407421,33.06793445,2.17557108,0.072049689,8.746085505,0.316770186,0.03030303,0,1.161064688,698.8000528,15.45595191,11.6065414,17.58910254,141.9055528,0.073781291,11.41789256,0.11552795,344.3574328,0,5.29E-05,75.39145205,0.19786625,2089.78,2089.8,0,-1.1815666,11.92529076,14.14649
1998,14392,24933.36992,2732568,NA,,467.5711111,52125.061,3381.405476,25.26738095,2.241269841,0.017857143,6.26031746,0.245634921,0,0.027777778,1.755952381,951.7077778,14.4665873,15.99968254,18.08746032,114.787381,1.877777778,17.01746032,1.481507937,3888.09881,0.071428571,1.71E-04,189.8671484,0.19843888,682.44,1008.1,252109,0.89549311,12.01653624,14.09439
1999,120875,58253.98681,25298038,NA,,1247.564093,352849.857,1.302222222,37.50116325,4.623655914,14.68781362,10.5155914,1.908960573,0.027777778,0,1.406728576,743.1911176,10.26541219,8.192574128,13.29546106,249.3736918,0.027777778,11.5709319,0.371212121,1321.923848,0,4.93E-05,209.2909038,0.0979158,1197.8,1469.6,0,1.53252825,11.60868838,15.85909
2000,36142,33705.51541,4552820,NA,,595.3111888,58538.516,2366.517566,18.0360447,10.53787879,0.34973545,22.55243867,0.301996152,0.061904762,0,1.893773079,1281.173927,7.696872387,8.685510046,18.10699393,259.5970729,0.085714286,7.363502609,0.260750361,3017.911455,0,1.31E-04,125.9703392,0.16146348,1033.56,2174.7,781543,1.68253565,11.6944366,15.45191
2001,22321,34445.08981,20751478,0,20751478,955.1608709,120847.885,9.774143693,53.79526942,8.743347953,0.122807018,12.81887009,0.520885547,0.055555556,0,2.41193609,1679.33184,92.57901003,14.84191729,22.99773392,394.2629386,0.569883041,17.33418964,1.539703425,1045.27971,0,4.60E-05,929.6840643,0.09326149,744.73,546.5,0,2.5929374,11.18088463,14.59754
2002,72980,68858.22447,3698379,41441833.32,45140212.32,415.1290323,38664.736,2646.68414,25.76836918,6.888888889,0.611111111,55.32840502,2.444444444,0,0.111111111,2.466845878,840.8570789,17.49910394,11.82168459,12.78629032,237.75,0.361111111,14.78629032,0.055555556,3157.501344,0,1.12E-04,50.67661003,0.1356557,1452.65,2086.9,2741709,1.98981838,10.64732324,15.23273
2003,209478,124309.8157,13219687,0,13219687,925.8665451,190170.701,13.29448707,57.3431334,10.27084602,0.061437908,15.04143094,0.424708025,0,0,3.064057271,1941.768579,64.46444421,18.23008316,106.4954354,755.4760469,0.325898506,10.29200802,0,1030.844409,0,7.00E-05,63.10775833,0.14503399,1279.92,1500.8,0,1.77225184,12.08772845,15.31614
2004,17629,29900.18987,19329975,38568130.74,57898105.74,432.0294183,36008.802,205.1423335,5.615902487,6.093778281,0.022222222,9.554083172,0.041830065,0,0,2.459479367,1659.730501,118.0402098,31.09870836,58.77503682,755.5272355,4.968067227,15.44282928,2.595173454,662.5892244,0,2.24E-05,1096.487322,0.12461266,753.23,1826.4,2144081,0.38488842,11.97585975,16.59779
2005,149700,74042.25174,4283406,0,4283406,124.2968543,34562.68,0.288915094,26.73937523,5.339396989,0,4.936332971,0.167486583,0,0,2.272592766,2357.329857,90.02197251,22.03178154,48.39533915,399.1999425,0.029411765,22.26359473,0.362562023,165.082518,0,2.90E-05,28.61326653,0.12190927,569.17,1891.6,0,-1.40629921,12.11417749,15.69007
2006,3.40E+04,2.86E+04,4534571,22252556.6,26787127.6,334.0287927,31375.238,1090.065789,23.34892348,4.53451056,0.090203106,1.688356195,0.119650876,0.01754386,0.015873016,0.665502723,2434.534366,143.6572567,28.22580523,78.88009338,700.7200429,0.034391534,22.13925754,2.22624472,1455.551417,0,7.37E-05,133.3697353,0.10569197,1095.86,1625.4,660124,-0.91947614,11.66993469,15.24852
2007,104483,67652.74698,5801386,0,5801386,248.1213421,44167.67,0,12.21724404,6.459206639,0.067982456,5.60612691,0.163454801,0,0,0.76150514,2731.126414,323.1770341,35.1051274,51.94851377,617.5856381,0,26.10745272,0.133883198,273.9933781,0,4.28E-05,55.52468823,0.091938,2101.11,3539.6,0,-0.31356726,11.45995109,13.34648
2008,19450,19702.78052,548032,8643065.27,9191097.27,66.82009601,19182.328,1615.888913,21.58187788,7.876547619,0,3.5325,0.696666667,0,0,0.872250384,1841.5922,243.3667704,28.9802957,127.9115361,575.746924,5.213452381,27.14996544,12.32811828,1717.993614,0,1.22E-04,28.17645244,0.18985429,1735.82,2019,1683591,0.88071209,10.91512419,16.15873
2009,21835,23904.43695,3679018,0,3679018,169.8674805,24856.043,0,16.08316262,2.665513834,0.090447154,4.779009608,0.13045085,0,0,0.587565073,1136.689603,241.6319471,41.2732575,75.72518196,837.5792904,0.279379157,48.16868714,2.666556204,194.9370923,0,4.62E-05,168.4917793,0.14007954,886.32,2064.3,0,0.60244871,12.03504454,16.24804
2010,26395,30278.41629,712037,29387358.7,30099395.7,80.79881697,12747.351,941.5415956,21.2279957,2.732778745,0.059294872,3.611983255,0.182496075,0,0,1.145300791,1497.57951,173.2749777,19.24940602,272.2459401,583.7845942,0.040816327,34.54026834,15.68313774,1052.332435,0,1.13E-04,26.97620762,0.18918356,843.84,1868.9,3992373,1.65525667,11.81493377,16.15741
2011,39535,33589.85839,3097730,0,3097730,112.0205314,36691.295,0.041666667,15.29921498,2.875905797,0.1875,33.43387681,0.605978261,0,0,1.539855072,973.2306763,346.9423309,32.41545894,60.3740942,893.9356884,0.3125,44.70772947,4.187198068,167.3327295,0,3.62E-05,78.35411661,0.09918405,1177.98,2364.5,0,0.71327923,10.73948276,14.52137
2012,15279.90001,15488.77561,1185196,92967869.71,94153065.71,11.54348892,5462.687,1460.129987,14.19711211,2.6625,0.175,9.908333333,0.425,0,0,0.848550725,996.4102089,219.2593457,38.35175831,71.9806266,638.4399403,0,31.8497549,4.332949702,1501.227472,0,9.74E-06,77.56569082,0.16226369,1628.22,1619.7,1172903,0.73596549,11.15871405,16.89492
2013,36408,20652.38734,9713388,0,9713388,266.964881,32149.751,0,24.38025362,5.724145963,0.253809524,2.469047619,0.256547619,0,0,1.314311594,582.7491822,273.8272464,27.42812112,65.02374741,1103.442681,0,23.99334369,2.271143892,302.3095445,0,2.75E-05,266.7926829,0.09604992,1325.23,1141.2,0,1.0689806,11.58932483,14.46967
2014,8545,9785.227311,838217,59567882.2,60406099.2,33.20833333,2960.688,1636.645833,12.72916667,4.0625,0.1875,5.833333333,0.020833333,0,0,0.770833333,401.1666667,452.2083333,50.75,75.75,1341.041667,0.041666667,43.8125,0.770833333,1694.25,0,3.96E-05,98.09444119,0.14630288,1381.86,1381.9,3053569,-0.64094779,12.44490027,14.00588
2015,62745,28002.63516,8590300,0,8590300,130.920307,27701.905,0.020833333,7.446052632,4.059473684,0.125263158,1.914210526,0.135964912,0,0,1.51254386,1230.463289,153.4051754,32.41311404,51.19605263,1255.000702,0.047149123,31.61122807,2.05122807,146.8023246,0.020833333,1.52E-05,136.9081202,0.12248111,673.94,2418.3,0,-0.89317811,12.9015873,14.89404
2016,7964,10431.34627,565618,32299758.65,32865376.65,52.73472222,20680.336,41.56944444,11.96527778,3.254166667,0,1.870833333,0.1375,0,0,0.540277778,891.4694444,136.1375,18.59027778,23.10972222,861.8791667,0.020833333,30.73055556,8.808333333,112.5930556,0.020833333,9.32E-05,71.02184832,0.12943535,761.72,2070,770674,0.13414946,12.61128472,15.16952
2017,33709,NA,4519407,0,4519407,85.13852743,NA,0,21.44917843,3.669207317,0.193960511,5.185830057,0.937545788,0,0,0.508768873,758.2051885,113.9948294,38.07489353,35.91937595,948.3733289,0.048780488,17.00421953,0.777081658,118.045441,0,1.88E-05,134.0712273,0.09170112,1274.26,1345,0,-0.84301481,11.78156028,14.50937
2018,6092,NA,484267,6985668.842,7469935.842,41.08158074,NA,124.4814103,23.9224387,6.606871628,0.229166667,4.081134412,0.895833333,0.025,0,1.536046386,514.7291189,223.1294565,71.21013901,64.49818672,910.3652683,0.021276596,12.65635763,1.566737667,203.2132738,0,8.48E-05,79.49228496,0.18515671,996.75,2460.7,188953,-2.6851348,12.54222222,15.3254
