years,escapement,adult_recruits
1980,19517.021193494795,29165.656619098394
1981,24303.595133571762,97178.82061886655
1982,153448.81512781465,381367.3066760892
1983,5846.78374471379,22818.378872613266
1984,38183.59748272871,148156.07599390874
1985,44581.60428206231,28967.392802128565
1986,90465.58544910539,308786.6659862024
1987,40887.50118855812,34727.42020341272
1988,80005.84675516267,196532.3680533946
1989,20611.295318985132,29013.238299011184
1990,98820.80774062962,237513.74751115096
1991,23467.46570512425,25099.85753786271
1992,79888.74843305699,167926.40143294548
1993,20016.203915177175,25540.362177608837
1994,72009.1443184565,80537.45390864465
1995,39998.46004269192,38099.28319673129
1996,79882.99770220275,70889.80826528174
1997,24933.369919124918,51351.247520465884
1998,58253.986807246925,343205.6283782567
1999,33705.51540751515,57017.98369596309
2000,34445.08980558669,106921.5000880186
2001,68858.22447048136,35522.638764234835
2002,124309.81567995726,179635.3023849523
2003,29900.189865740784,35858.063305575095
2004,74042.25174416423,36232.105101599635
2005,28571.71473003643,33300.2701125286
2006,67652.74698431304,44954.27867993914
2007,19702.78051895906,19179.935264466414
2008,23904.436946748603,24079.513635270367
2009,30278.41629225369,11902.11264569609
2010,33589.85839208231,33251.44132848105
2011,15488.77560981255,5157.960440357397
2012,20652.38733537965,30003.037640210947
2013,9785.227310534727,3069.558600380312
2014,28002.63515725317,28888.714551996592
2015,10431.346269457179,20257.5019726412
